@date: 2013-07-16
@source_title: Automatically created wordlist, by lingpy.
@doculect: Ocaina, oca
@doculect: Bora, boa
@doculect: Huitoto Murui, huu
@doculect: Castellano, spa
@doculect: Huitoto Muinane, hto
QLCID	CONCEPT	COUNTERPART	COUNTERPART_DOCULECT	TOKENS
leach1969/131/35	PIERN	odsácona	Ocaina	o dz a k õ a
thiesen1998/253/1	PIERN	tájkii	Bora	tʰ a x kʰ i:
thiesen1998/296/22	DELG	újtsíh	Bora	u x tʰs i ʔ
thiesen1998/296/22	DELG	ujtsíwu	Bora	u x tʰs i kʷ u
burtch1983/168/4	DELG	lli̵bibi̵ci̵	Huitoto Murui	dʑ ɯ b i b ɯ k ɯ
thiesen1998/40/21	DELG	áníh	Bora	a n i ʔ
thiesen1998/40/21	DELG	ání	Bora	a n i
burtch1983/168/7	DELG	lli̵birede	Huitoto Murui	dʑ ɯ b i ɾ ɛ d ɛ
thiesen1998/296/22	DELG	újtsí	Bora	u x tʰs i
burtch1983/124/6	DELG	janore	Huitoto Murui	h a n ɔ ɾ ɛ
leach1969/78/18	DELG	boojo	Ocaina	b o o ʔ o
burtch1983/168/6	DELG	lli̵bire	Huitoto Murui	dʑ ɯ b i ɾ ɛ
burtch1983/123/21	DELG	janogaìda	Huitoto Murui	h a n ɔ g ai d a
burtch1983/124/9	DELG	janorede	Huitoto Murui	h a n ɔ ɾ ɛ d ɛ
burtch1983/168/3	DELG	lli̵bibecode	Huitoto Murui	dʑ ɯ b i b ɛ k ɔ d ɛ
leach1969/73/20	TIERR	añ̈oonhun	Ocaina	a nʲ̈ o õ ʔ ɯn
leach1969/73/16	TIERR	añ̈iirán̈oh	Ocaina	a nʲ̈ i i r a n̥ o ʔ
thiesen1998/146/24	TIERR	iíñu	Bora	i i nʲ u
burtch1983/78/16	TIERR	eni̵rue	Huitoto Murui	ɛ n ɯ ɾ u ɛ
leach1969/158/49	PENS	xomuxohyálli	Ocaina	x o m ɯ x o ʔ ʑ a dʑ i
thiesen1998/154/21	PENS	í̵jtsáme̱ícho	Bora	i̵ x tʰs a m e i kʰʔ o
thiesen1998/154/26	PENS	i̵jtsúcu̱nu	Bora	i̵ x tʰs u kʰ u n u
minor1971/17/27	PENS	duénaìtde	Huitoto Muinane	d u ɛ n a i ɗ ɛ
burtch1983/81/20	PENS	facade	Huitoto Murui	ɸ a k a d ɛ
minor1971/45/31	PENS	merí̵daìtdi̵de	Huitoto Muinane	m ɛ ɾ ɯ́ d a i ɗ ɯ d ɛ
thiesen1998/154/19	PENS	í̵jtsáme̱i	Bora	i̵ x tʰs a m e i
leach1969/103/46	SEC	jáánhta	Ocaina	ʔ a ã ʔ t a
thiesen1998/105/5	SEC	dáárɨ̱te	Bora	tʰ a: r i̵ tʰ e
thiesen1998/244/2	SEC	ráyuuve	Bora	r a ʝ u: β e
thiesen1998/104/34	SEC	dárí̵	Bora	tʰ a r i̵
thiesen1998/218/6	SEC	páácyúme̱i	Bora	pʰ a: kʰʝ u m e i
leach1969/124/2	SEC	naain	Ocaina	n a a ĩ
thiesen1998/99/22	SEC	cheme	Bora	kʰʔ e m e
thiesen1998/154/16	SEC	i̵jto	Bora	i̵ x tʰ o
thiesen1998/43/11	SEC	áhraba	Bora	a ʔ r a pʰ a
thiesen1998/99/24	SEC	chéméh	Bora	kʰʔ e m e ʔ
burtch1983/220/11	SEC	safenaìte	Huitoto Murui	s a ɸ ɛ n ai t ɛ
thiesen1998/104/34	SEC	dárí̵h	Bora	tʰ a r i̵ ʔ
thiesen1998/105/7	SEC	dáári̵tétso	Bora	tʰ a: r i̵ tʰ e tʰs o
thiesen1998/43/11	SEC	áraave	Bora	a r a: β e
thiesen1998/99/24	SEC	chémé	Bora	kʰʔ e m e
thiesen1998/146/22	SERPIENT	ííñimye	Bora	i: nʲ i mʝ e
thiesen1998/212/13	NEGR	ohcháimútsi	Bora	o ʔ kʰʔ a i m u tʰs i
burtch1983/140/12	NEGR	jiti̵re	Huitoto Murui	h i t ɯ ɾ ɛ
burtch1983/132/9	NEGR	jidiride	Huitoto Murui	h i d i ɾ i d ɛ
thiesen1998/91/34	NEGR	cóhróváuba	Bora	kʰ o ʔ r o β a u pʰ a
thiesen1998/96/19	NEGR	cúúveébe	Bora	kʰ u: β e e pʰ e
thiesen1998/212/13	NEGR	ohchámu	Bora	o ʔ kʰʔ a m u
minor1971/34/13	NEGR	jitdi̵rede	Huitoto Muinane	ʔ i ɗ ɯ ɾ ɛ d ɛ
thiesen1998/91/34	NEGR	córóváuuve	Bora	kʰ o r o β a u: β e
thiesen1998/96/17	NEGR	cúvéh	Bora	kʰ u β e ʔ
thiesen1998/212/13	NEGR	ohchái	Bora	o ʔ kʰʔ a i
thiesen1998/51/16	NEGR	bajtu	Bora	pʰ a x tʰ u
thiesen1998/96/17	NEGR	cúvé	Bora	kʰ u β e
leach1969/113/44	NEGR	juhtóóhfu	Ocaina	ʔ ɯ ʔ t o o ʔ ɸ ɯ
thiesen1998/28/4	Y	ácooca	Bora	a kʰ o: kʰ a
leach1969/151/39	Y	unatyojún	Ocaina	ɯn a tʑ o ʔ ɯ́n
minor1971/18/22	Y	di̵ga	Huitoto Muinane	d ɯ g a
thiesen1998/35/9	VERD	ájtyúváh	Bora	a x tʰʝ u β a ʔ
burtch1983/241/5	VERD	uafue	Huitoto Murui	u a ɸ u ɛ
thiesen1998/35/7	VERD	ajtyúva	Bora	a x tʰʝ u β a
minor1971/48/4	VERD	nabépue	Huitoto Muinane	n a b ɛ p u ɛ
minor1971/68/31	VERD	uápue	Huitoto Muinane	u a p u ɛ
thiesen1998/215/29	VERD	óvátúh	Bora	o β a tʰ u ʔ
leach1969/103/43	VERD	jaanchonó	Ocaina	ʔ a ã kʔ õ o
burtch1983/242/16	VERD	uanaì	Huitoto Murui	u a n ai
thiesen1998/35/9	VERD	ájtyúvá	Bora	a x tʰʝ u β a
thiesen1998/155/3	VERD	í̵mi̵̱a	Bora	i̵ m i̵ a
leach1969/122/20	VERD	moxóóso	Ocaina	m o x o o s o
leach1969/107/17	VERD	jiááho	Ocaina	ʔ i a a ʔ o
thiesen1998/215/29	VERD	óvátú	Bora	o β a tʰ u
thiesen1998/284/17	MADR	tsi̵í̵ju	Bora	tʰs i̵ i̵ x u
leach1969/153/13	MADR	úúdsah	Ocaina	ɯ́ ɯ́ dz a ʔ
minor1971/5/19	MADR	año	Huitoto Muinane	a nʲ o
burtch1983/75/18	MADR	ei	Huitoto Murui	ɛ i
leach1969/135/17	CABELL	ohfotohóófe	Ocaina	o ʔ ɸ o t o ʔ o o ɸ ɛ
thiesen1998/202/17	CABELL	nííwaco	Bora	n i: kʷ a kʰ o
burtch1983/257/17	CABELL	i̵foti̵raì̵	Huitoto Murui	ɯ ɸ ɔ t ɯ ɾ aɯ̀
leach1969/154/2	VIV	uun	Ocaina	ɯ ɯn
burtch1983/116/10	VIV	ite	Huitoto Murui	i t ɛ
leach1969/159/37	VIV	xooba	Ocaina	x o o b a
thiesen1998/277/17	VIV	tsájpí̵	Bora	tʰs a x pʰ i̵
leach1969/68/18	VIV	uun	Ocaina	ɯ ɯn
thiesen1998/277/17	VIV	tsájpí̵h	Bora	tʰs a x pʰ i̵ ʔ
leach1969/154/2	VIV	aan	Ocaina	a ã
leach1969/124/16	VIV	naavi	Ocaina	n a a β i
thiesen1998/57/15	VIV	bóhí̵	Bora	pʰ o ʔ i̵
burtch1983/44/9	VIV	caje	Huitoto Murui	k a h ɛ
minor1971/25/39	VIV	itde	Huitoto Muinane	i ɗ ɛ
thiesen1998/184/17	VIV	mítyáhcó	Bora	m i tʰʝ a ʔ kʰ o
leach1969/68/18	VIV	aan	Ocaina	a ã
thiesen1998/184/17	VIV	mítyáhcóh	Bora	m i tʰʝ a ʔ kʰ o ʔ
thiesen1998/138/32	VIV	ijcya	Bora	i x kʰʝ a
thiesen1998/57/15	VIV	bóhí̵h	Bora	pʰ o ʔ i̵ ʔ
leach1969/108/5	VIV	jiityóra	Ocaina	ʔ i i tʑ o r a
thiesen1998/138/12	HUEV	ííhyune	Bora	i: ʔʝ u n e
minor1971/38/19	HUEV	ji̵gi̵	Huitoto Muinane	ʔ ɯ g ɯ
thiesen1998/138/12	HUEV	ííhyúneé	Bora	i: ʔʝ u n e e
thiesen1998/138/12	HUEV	ííhyuu	Bora	i: ʔʝ u:
leach1969/111/15	HUEV	jóón	Ocaina	ʔ o on
thiesen1998/138/12	HUEV	ííhyúuú	Bora	i: ʔʝ u u u
leach1969/111/15	HUEV	jóónjun	Ocaina	ʔ o on ʔ ɯn
burtch1983/151/18	HUEV	ji̵gi̵	Huitoto Murui	h ɯ g ɯ
burtch1983/51/11	YO	cue	Huitoto Murui	k u ɛ
thiesen1998/210/19	YO	oó	Bora	o o
thiesen1998/210/19	YO	o	Bora	o
leach1969/159/1	YO	xon	Ocaina	x õ
burtch1983/51/11	YO	cuè	Huitoto Murui	k uɛ̀
leach1969/159/1	YO	xoun	Ocaina	x o ɯn
minor1971/11/39	YO	cuè	Huitoto Muinane	k u ɛ
leach1969/161/7	YO	xooun	Ocaina	x o o ɯn
leach1969/161/7	YO	xon	Ocaina	x õ
leach1969/68/55	NO	aán	Ocaina	a ã
burtch1983/62/14	NO	dama ite	Huitoto Murui	d a m a # i t ɛ
leach1969/68/26	NO	aanñi	Ocaina	a ã nʲ i
leach1969/68/55	NO	aanñi	Ocaina	a ã nʲ i
thiesen1998/275/9	NO	tsáhaá	Bora	tʰs a ʔ a a
burtch1983/62/12	NO	dama	Huitoto Murui	d a m a
thiesen1998/275/9	NO	tsáha	Bora	tʰs a ʔ a
thiesen1998/275/9	NO	tsáh	Bora	tʰs a ʔ
leach1969/68/26	NO	aán	Ocaina	a ã
thiesen1998/275/13	NO	tsáháuba	Bora	tʰs a ʔ a u pʰ a
thiesen1998/275/9	NO	tsá	Bora	tʰs a
thiesen1998/51/5	HUES	bájcu	Bora	pʰ a x kʰ u
burtch1983/247/13	HUES	uìllaì̵	Huitoto Murui	ui dʑ aɯ̀
leach1969/129/23	HUES	ñonhóónhcovo	Ocaina	nʲ õ ʔ o on ʔ k o β o
thiesen1998/51/5	HUES	bájcuú	Bora	pʰ a x kʰ u u
burtch1983/110/20	HUES	illaìci̵	Huitoto Murui	i dʑ ai k ɯ
minor1971/22/36	HUES	icuru	Huitoto Muinane	i k u ɾ u
burtch1983/259/5	MAR	i̵ni	Huitoto Murui	ɯ n i
leach1969/136/23	MAR	oonna	Ocaina	o õ n a
thiesen1998/183/8	MAR	míéécuve	Bora	m i e: kʰ u β e
thiesen1998/96/33	MAR	cúúve̱te	Bora	kʰ u: β e tʰ e
thiesen1998/187/9	MAR	moóa	Bora	m o o a
thiesen1998/187/9	MAR	móañe	Bora	m o a nʲ e
leach1969/118/23	MAR	maan̈u	Ocaina	m a a n̥ ɯ
burtch1983/179/16	MAR	monaìllai	Huitoto Murui	m ɔ n ai dʑ a i
minor1971/46/19	MAR	monáìllai	Huitoto Muinane	m o n a i dʑ a i
thiesen1998/252/13	MAR	taji̵	Bora	tʰ a x i̵
burtch1983/259/11	MAR	i̵nirede	Huitoto Murui	ɯ n i ɾ ɛ d ɛ
thiesen1998/172/9	MAR	lliyíícyave	Bora	tʰʃ i ʝ i: kʰʝ a β e
thiesen1998/201/23	MAR	níóocave	Bora	n i o o kʰ a β e
burtch1983/112/6	POLV	imuìci̵	Huitoto Murui	i m ui k ɯ
leach1969/71/37	POLV	ajóóhu	Ocaina	a ʔ o o ʔ ɯ
thiesen1998/52/5	POLV	bálliíjyu	Bora	pʰ a tʰʃ i i xʝ u
thiesen1998/175/31	COM	majcho	Bora	m a x kʰʔ o
thiesen1998/175/32	COM	majcho	Bora	m a x kʰʔ o
burtch1983/101/10	COM	guìte	Huitoto Murui	g ui t ɛ
minor1971/53/19	COM	ocólle	Huitoto Muinane	o k o dʑ ɛ
leach1969/137/43	COM	oxóóxa	Ocaina	o x o o x a
burtch1983/100/15	COM	guìlle	Huitoto Murui	g ui dʑ ɛ
burtch1983/100/10	COM	guìga	Huitoto Murui	g ui g a
thiesen1998/61/13	COL	bówa	Bora	pʰ o kʷ a
burtch1983/204/6	COL	omacaì̵	Huitoto Murui	ɔ m a k aɯ̀
burtch1983/50/4	COL	corebi̵	Huitoto Murui	k ɔ ɾ ɛ b ɯ
thiesen1998/305/27	COL	vihyu	Bora	β i ʔʝ u
minor1971/53/33	COL	oda	Huitoto Muinane	o d a
thiesen1998/61/13	COL	bówaá	Bora	pʰ o kʷ a a
thiesen1998/64/11	COL	cáchórohjáco	Bora	kʰ a kʰʔ o r o ʔ x a kʰ o
thiesen1998/64/13	COL	cáchóroove	Bora	kʰ a kʰʔ o r o: β e
leach1969/132/23	COL	ohoo	Ocaina	o ʔ o o
thiesen1998/64/11	COL	cáchórohco	Bora	kʰ a kʰʔ o r o ʔ kʰ o
thiesen1998/148/29	COL	í̵í̵catétso	Bora	i̵i̵ kʰ a tʰ e tʰs o
leach1969/83/25	QUE	dsoh	Ocaina	dz o ʔ
leach1969/106/15	DOS	jan̈aa	Ocaina	ʔ a n̥ a a
minor1971/5/27	DOS	apémaì̵lli̵noì̵	Huitoto Muinane	a p ɛ m a ɯ̀ dʑ ɯ n o ɯ̀
minor1971/6/35	DOS	ba imálli̵no	Huitoto Muinane	b a # i m a dʑ ɯ n o
minor1971/28/40	DOS	jaí̵ci̵doi̵nguaì̵	Huitoto Muinane	ʔ a ɯ́ k ɯ d o ɯ ŋ u a ɯ̀
minor1971/45/17	DOS	mena	Huitoto Muinane	m ɛ n a
burtch1983/176/6	DOS	mena	Huitoto Murui	m ɛ n a
minor1971/38/38	JUG	ji̵pánotde	Huitoto Muinane	ʔ ɯ p a n o ɗ ɛ
leach1969/136/25	JUG	ooralli	Ocaina	o o r a dʑ i
burtch1983/103/7	JUG	i	Huitoto Murui	i
minor1971/60/24	JUG	raì̵péde	Huitoto Muinane	ɾ a ɯ̀ p ɛ d ɛ
burtch1983/150/16	JUG	ji̵fanote	Huitoto Murui	h ɯ ɸ a n ɔ t ɛ
thiesen1998/148/32	JUG	i̵i̵cu	Bora	i̵: kʰ u
burtch1983/240/1	COS	ti̵forite	Huitoto Murui	t ɯ ɸ ɔ ɾ i t ɛ
thiesen1998/126/3	COS	dsi̵jco	Bora	tʰs i̵ x kʰ o
minor1971/56/44	COS	puènide	Huitoto Muinane	p u ɛ n i d ɛ
leach1969/84/7	COS	dsonnóójañi	Ocaina	dz õ n o o ʔ a nʲ i
minor1971/38/29	COS	ji̵llíde	Huitoto Muinane	ʔ ɯ dʑ i d ɛ
thiesen1998/228/16	COS	páwaji̵	Bora	pʰ a kʷ a x i̵
minor1971/58/34	COS	raa	Huitoto Muinane	ɾ a a
burtch1983/239/16	COS	ti̵fode	Huitoto Murui	t ɯ ɸ ɔ d ɛ
minor1971/66/4	COS	ti̵póde	Huitoto Muinane	t ɯ p o d ɛ
burtch1983/208/6	COS	ra	Huitoto Murui	ɾ a
leach1969/114/35	COS	junhdyáánjañi	Ocaina	ʔ ɯn ʔ dʑ a ã ʔ a nʲ i
leach1969/122/3	COS	moontyo	Ocaina	m o õ tʑ o
thiesen1998/126/3	COS	dsi̵áco	Bora	tʰs i̵ a kʰ o
burtch1983/148/2	OTRO	ji̵aì̵	Huitoto Murui	h ɯ aɯ̀
burtch1983/148/3	OTRO	ji̵aì̵	Huitoto Murui	h ɯ aɯ̀
leach1969/73/9	OTRO	añ̈ii	Ocaina	a nʲ̈ i i
burtch1983/38/15	GOLP	bucoì̵de	Huitoto Murui	b u k ɔ ɯ̀ d ɛ
thiesen1998/328/3	GOLP	wápáajcáro	Bora	kʷ a pʰ a a x kʰ a r o
thiesen1998/332/5	GOLP	wátyétyehjúcu	Bora	kʷ a tʰʝ e tʰʝ e ʔ x u kʰ u
minor1971/55/23	GOLP	patde	Huitoto Muinane	p a ɗ ɛ
thiesen1998/141/16	GOLP	íllaáyo	Bora	i tʰʃ a a ʝ o
thiesen1998/310/2	GOLP	wábóbohjáco	Bora	kʷ a pʰ o pʰ o ʔ x a kʰ o
burtch1983/238/11	GOLP	tute	Huitoto Murui	t u t ɛ
thiesen1998/141/16	GOLP	íhllaáyo	Bora	i ʔ tʰʃ a a ʝ o
thiesen1998/39/27	GOLP	áámúme̱i	Bora	a: m u m e i
thiesen1998/332/5	GOLP	wátyetyéhcu	Bora	kʷ a tʰʝ e tʰʝ e ʔ kʰ u
thiesen1998/181/9	GOLP	meenu	Bora	m e: n u
leach1969/67/14	GOLP	aadsi	Ocaina	a a dz i
burtch1983/220/19	GOLP	saìgode	Huitoto Murui	s ai g ɔ d ɛ
thiesen1998/62/31	GOLP	cábohco	Bora	kʰ a pʰ o ʔ kʰ o
thiesen1998/328/3	GOLP	wápáajco	Bora	kʷ a pʰ a a x kʰ o
thiesen1998/310/2	GOLP	wábóbohco	Bora	kʷ a pʰ o pʰ o ʔ kʰ o
leach1969/70/24	GOLP	adsiityójo	Ocaina	a dz i i tʑ o ʔ o
burtch1983/69/4	GOLP	dutade	Huitoto Murui	d u t a d ɛ
burtch1983/84/13	GOLP	fatade	Huitoto Murui	ɸ a t a d ɛ
leach1969/84/14	ALGUNOS	dsóóhbama	Ocaina	dz o o ʔ b a m a
thiesen1998/281/17	ALGUNOS	tsíeméjte	Bora	tʰs i e m e x tʰ e
leach1969/147/48	ALGUNOS	tyaasah	Ocaina	tʑ a a s a ʔ
minor1971/15/10	ALGUNOS	daarie	Huitoto Muinane	d a a ɾ i ɛ
burtch1983/61/1	ALGUNOS	daforie	Huitoto Murui	d a ɸ ɔ ɾ i ɛ
burtch1983/62/7	ALGUNOS	dajerie	Huitoto Murui	d a h ɛ ɾ i ɛ
thiesen1998/207/23	HIEL	nújpácyó arááve	Bora	n u x pʰ a kʰʝ o # a r a: β e
minor1971/16/18	HIEL	deri̵	Huitoto Muinane	d ɛ ɾ ɯ
leach1969/130/16	HIEL	ñoon arááhsaxa	Ocaina	nʲ o õ # a r a a ʔ s a x a
burtch1983/91/2	HIEL	filli̵i	Huitoto Murui	ɸ i dʑ ɯ i
burtch1983/91/2	HIEL	filli̵ji	Huitoto Murui	ɸ i dʑ ɯ h i
leach1969/71/24	ANCHO	ajáára	Ocaina	a ʔ a a r a
burtch1983/69/16	ANCHO	di̵arose	Huitoto Murui	d ɯ a ɾ ɔ s ɛ
burtch1983/23/20	ANCHO	aìllue	Huitoto Murui	ai dʑ u ɛ
burtch1983/130/13	ANCHO	jerie	Huitoto Murui	h ɛ ɾ i ɛ
thiesen1998/35/2	QUEM	ajtye	Bora	a x tʰʝ e
minor1971/8/10	QUEM	boode	Huitoto Muinane	b o o d ɛ
thiesen1998/32/14	QUEM	áiúcu	Bora	a i u kʰ u
leach1969/97/16	QUEM	tyáfoohto	Ocaina	tʑ a ɸ o o ʔ t o
burtch1983/133/15	QUEM	jifide	Huitoto Murui	h i ɸ i d ɛ
minor1971/70/31	QUEM	utíde	Huitoto Muinane	u t i d ɛ
leach1969/97/15	QUEM	foohto	Ocaina	ɸ o o ʔ t o
minor1971/8/2	QUEM	bobicaìde	Huitoto Muinane	b o b i k a i d ɛ
thiesen1998/41/16	QUEM	añu	Bora	a nʲ u
burtch1983/141/4	QUEM	jobaìde	Huitoto Murui	h ɔ b ai d ɛ
thiesen1998/32/18	QUEM	áiivye	Bora	a i: βʝ e
minor1971/34/31	QUEM	jobáìde	Huitoto Muinane	ʔ o b a i d ɛ
leach1969/76/48	QUEM	biih	Ocaina	b i i ʔ
minor1971/11/5	QUEM	conaìtde	Huitoto Muinane	k o n a i ɗ ɛ
burtch1983/252/2	QUEM	uside	Huitoto Murui	u s i d ɛ
thiesen1998/32/14	QUEM	áijcho	Bora	a i x kʰʔ o
thiesen1998/32/18	QUEM	ááiba	Bora	a: i pʰ a
minor1971/6/41	HIERB	barie	Huitoto Muinane	b a ɾ i ɛ
leach1969/149/6	HIERB	tyojáánjan	Ocaina	tʑ o ʔ a ã ʔ ã
leach1969/149/6	HIERB	tyojáán	Ocaina	tʑ o ʔ a ã
burtch1983/211/2	HIERB	raìti̵ci̵ño	Huitoto Murui	ɾ ai t ɯ k ɯ nʲ ɔ
minor1971/59/29	HIERB	raìtdi̵aì̵	Huitoto Muinane	ɾ a i ɗ ɯ a ɯ̀
burtch1983/211/3	HIERB	raìti̵e	Huitoto Murui	ɾ ai t ɯ ɛ
leach1969/149/7	HIERB	tyojáányina	Ocaina	tʑ o ʔ a ã ʑ ĩ a
thiesen1998/199/17	AREN	néwayúúha	Bora	n e kʷ a ʝ u: ʔ a
leach1969/117/10	AREN	llíoonhin	Ocaina	dʑ i o õ ʔ ĩ
burtch1983/49/9	AREN	conilli̵e	Huitoto Murui	k ɔ n i dʑ ɯ ɛ
burtch1983/99/23	AREN	guàmaì̵	Huitoto Murui	g ua m aɯ̀
minor1971/11/6	AREN	conilli̵e	Huitoto Muinane	k o n i dʑ ɯ ɛ
leach1969/117/11	AREN	llíoonjin	Ocaina	dʑ i o õ ʔ ĩ
burtch1983/143/7	LAG	joraì	Huitoto Murui	h ɔ ɾ ai
minor1971/35/30	LAG	joraì	Huitoto Muinane	ʔ o ɾ a i
burtch1983/28/8	LAG	taì̵nomo ari	Huitoto Murui	t aɯ̀ n ɔ m ɔ # a ɾ i
leach1969/109/32	LAG	jonháánjin	Ocaina	ʔ õ ʔ a ã ʔ ĩ
thiesen1998/299/25	LAG	únemu	Bora	u n e m u
thiesen1998/299/25	LAG	úneu	Bora	u n e u
leach1969/135/13	CABEZ	oohfo	Ocaina	o o ʔ ɸ o
minor1971/73/16	CABEZ	i̵po	Huitoto Muinane	ɯ p o
burtch1983/257/2	CABEZ	ɨfo	Huitoto Murui	ɯ ɸ ɔ
burtch1983/257/7	CABEZ	i̵fogi̵	Huitoto Murui	ɯ ɸ ɔ g ɯ
leach1969/135/15	CABEZ	ohfóóruna	Ocaina	o ʔ ɸ o o r ɯn a
thiesen1998/202/22	CABEZ	nííwau	Bora	n i: kʷ a u
thiesen1998/171/12	JAL	llíúcúme̱i	Bora	tʰʃ i u kʰ u m e i
leach1969/146/13	JAL	tsoonhmu	Ocaina	ts o õ ʔ m ɯ
thiesen1998/171/10	JAL	llícyuhco	Bora	tʰʃ i kʰʝ u ʔ kʰ o
thiesen1998/171/10	JAL	lliúcu	Bora	tʰʃ i u kʰ u
burtch1983/48/7	NUEV	comue	Huitoto Murui	k ɔ m u ɛ
minor1971/10/37	NUEV	como	Huitoto Muinane	k o m o
leach1969/113/35	NUEV	juhto	Ocaina	ʔ ɯ ʔ t o
burtch1983/48/7	NUEV	comoì̵e	Huitoto Murui	k ɔ m ɔ ɯ̀ ɛ
minor1971/10/39	NUEV	comue	Huitoto Muinane	k o m u ɛ
burtch1983/31/11	ESE	baìe	Huitoto Murui	b ai ɛ
leach1969/147/4	ESE	tya	Ocaina	tʑ a
burtch1983/31/9	ESE	baì	Huitoto Murui	b ai
burtch1983/217/24	PODR	ri̵faìde	Huitoto Murui	ɾ ɯ ɸ ai d ɛ
thiesen1998/265/4	PODR	tócúh	Bora	tʰ o kʰ u ʔ
burtch1983/220/5	PODR	sabide	Huitoto Murui	s a b i d ɛ
minor1971/63/8	PODR	ri̵paìde	Huitoto Muinane	ɾ ɯ p a i d ɛ
thiesen1998/98/22	PODR	chahjába	Bora	kʰʔ a ʔ x a pʰ a
minor1971/30/3	PODR	jeellonaìde	Huitoto Muinane	ʔ ɛ ɛ dʑ o n a i d ɛ
thiesen1998/98/23	PODR	cháhjaba	Bora	kʰʔ a ʔ x a pʰ a
thiesen1998/265/4	PODR	tócú	Bora	tʰ o kʰ u
thiesen1998/243/19	PODR	raaráve	Bora	r a: r a β e
thiesen1998/98/23	PODR	chájaave	Bora	kʰʔ a x a: β e
thiesen1998/205/9	PODR	nójcanu	Bora	n o x kʰ a n u
minor1971/65/16	PODR	toode	Huitoto Muinane	t o o d ɛ
thiesen1998/98/22	PODR	chajááve	Bora	kʰʔ a x a: β e
minor1971/15/5	TRES	daámani	Huitoto Muinane	d a a m a n i
burtch1983/61/9	TRES	dae amani	Huitoto Murui	d a ɛ # a m a n i
burtch1983/61/9	TRES	daje amani	Huitoto Murui	d a h ɛ # a m a n i
thiesen1998/149/12	PES	í̵dáátso	Bora	i̵ tʰ a: tʰs o
thiesen1998/219/9	PES	pádúúcu	Bora	pʰ a tʰ u: kʰ u
leach1969/92/32	PES	faahxa	Ocaina	ɸ a a ʔ x a
thiesen1998/219/11	PES	pádúcúh	Bora	pʰ a tʰ u kʰ u ʔ
thiesen1998/165/10	PES	kimóóve	Bora	kʰ i m oo β e
thiesen1998/39/12	PES	aámu	Bora	a a m u
thiesen1998/39/13	PES	aamu	Bora	a: m u
thiesen1998/149/12	PES	í̵dáátsoó	Bora	i̵ tʰ a: tʰs o o
minor1971/45/4	PES	mee	Huitoto Muinane	m ɛ ɛ
leach1969/118/47	PES	mááyi	Ocaina	m a a ʑ i
thiesen1998/219/9	PES	pádúúcuú	Bora	pʰ a tʰ u: kʰ u u
burtch1983/175/3	PES	meere	Huitoto Murui	m ɛ ɛ ɾ ɛ
thiesen1998/131/23	PES	eevécu̱nu	Bora	e: β e kʰ u n u
burtch1983/175/2	PES	meenaìte	Huitoto Murui	m ɛ ɛ n ai t ɛ
thiesen1998/219/11	PES	pádúcú	Bora	pʰ a tʰ u kʰ u
thiesen1998/165/5	PES	kimóhcoó	Bora	kʰ i m o ʔ kʰ o o
thiesen1998/165/5	PES	kimóhco	Bora	kʰ i m o ʔ kʰ o
leach1969/113/11	LAV	joxootu	Ocaina	ʔ o x o o t ɯ
thiesen1998/200/36	LAV	nijtyúcu	Bora	n i x tʰʝ u kʰ u
thiesen1998/200/36	LAV	nijtyu	Bora	n i x tʰʝ u
thiesen1998/200/37	LAV	nijtyúcu	Bora	n i x tʰʝ u kʰ u
thiesen1998/200/34	LAV	níjtyúme̱i	Bora	n i x tʰʝ u m e i
burtch1983/250/7	LAV	ullide	Huitoto Murui	u dʑ i d ɛ
minor1971/34/37	LAV	jocode	Huitoto Muinane	ʔ o k o d ɛ
thiesen1998/200/34	LAV	níjtyáme̱i	Bora	n i x tʰʝ a m e i
thiesen1998/312/8	LAV	wácháchahco	Bora	kʷ a kʰʔ a kʰʔ a ʔ kʰ o
thiesen1998/312/8	LAV	wácháchahjáco	Bora	kʷ a kʰʔ a kʰʔ a ʔ x a kʰ o
thiesen1998/200/37	LAV	nijtyu	Bora	n i x tʰʝ u
leach1969/67/44	CIEL	aam̈i	Ocaina	a a m̥ i
burtch1983/179/5	CIEL	mona	Huitoto Murui	m ɔ n a
thiesen1998/136/23	CIEL	íévehóówa	Bora	i e β e ʔ oo kʷ a
leach1969/67/45	CIEL	aam̈ijón	Ocaina	a a m̥ i ʔ on
leach1969/79/43	CIEL	bum̈onñ̈á	Ocaina	b ɯ m̥ õ nʲ̈ a
minor1971/46/18	CIEL	mona	Huitoto Muinane	m o n a
minor1971/7/27	CIEL	bico	Huitoto Muinane	b i k o
leach1969/115/40	SOPL	juuhxa	Ocaina	ʔ ɯ ɯ ʔ x a
thiesen1998/148/5	SOPL	í̵bajtso	Bora	i̵ pʰ a x tʰs o
thiesen1998/148/6	SOPL	í̵bátsuhjáco	Bora	i̵ pʰ a tʰs u ʔ x a kʰ o
thiesen1998/148/6	SOPL	í̵batsúhcu	Bora	i̵ pʰ a tʰs u ʔ kʰ u
thiesen1998/170/8	SOPL	llijchúcu	Bora	tʰʃ i x kʰʔ u kʰ u
burtch1983/91/15	SOPL	fitade	Huitoto Murui	ɸ i t a d ɛ
thiesen1998/148/4	SOPL	i̵bájtso	Bora	i̵ pʰ a x tʰs o
minor1971/70/42	SOPL	vatde	Huitoto Muinane	β a ɗ ɛ
